Plate Name,Dilution,Colony Name,Sector Constant,Count / Frame,User,Flags,Created,Comments / Notes,Spiral Volume,Count / ml,Mean Count / ml,
V_1,1 : 100,A,4C,249,P3Admin,,5/18/2019 11:32:19 AM,,50ul,1.36E+006,1.36E+006,
V_2,1 : 100,A,W,62,P3Admin,,5/18/2019 11:32:47 AM,,50ul,1.24E+005,1.24E+005,
V_4,1 : 100,A,3C,165,P3Admin,,5/18/2019 11:33:46 AM,,50ul,7.64E+006,7.64E+006,
V_5,1 : 100,A,4B,191,P3Admin,,5/18/2019 11:34:22 AM,,50ul,6.37E+005,6.37E+005,
V_6,1 : 100,A,4B,172,P3Admin,,5/18/2019 11:34:36 AM,,50ul,5.73E+005,5.73E+005,
V_7,1 : 100,A,3A,179,P3Admin,,5/18/2019 11:34:51 AM,,50ul,1.7E+006,1.7E+006,
V_9,1 : 100,A,3B,188,P3Admin,,5/18/2019 11:35:09 AM,,50ul,3.43E+006,3.43E+006,
V_11,1 : 100,A,4C,164,P3Admin,,5/18/2019 11:35:26 AM,,50ul,8.97E+005,8.97E+005,
V_12,1 : 100,A,3B,257,P3Admin,,5/18/2019 11:35:41 AM,,50ul,4.69E+006,4.69E+006,
V_13,1 : 100,A,3B,178,P3Admin,,5/18/2019 11:35:56 AM,,50ul,3.25E+006,3.25E+006,
V_15,1 : 100,A,W,74,P3Admin,,5/18/2019 11:36:14 AM,,50ul,1.48E+005,1.48E+005,
V_16,1 : 100,A,4A,219,P3Admin,,5/18/2019 11:36:34 AM,,50ul,4.38E+005,4.38E+005,
V_18,1 : 100,A,3B,189,P3Admin,,5/18/2019 11:37:01 AM,,50ul,3.45E+006,3.45E+006,
V_19,1 : 100,A,W,125,P3Admin,,5/18/2019 11:37:17 AM,,50ul,2.5E+005,2.5E+005,
V_20,1 : 100,A,4C,179,P3Admin,,5/18/2019 11:37:35 AM,,50ul,9.79E+005,9.79E+005,
V_21,1 : 100,A,3A,224,P3Admin,,5/18/2019 11:37:50 AM,,50ul,2.12E+006,2.12E+006,
