,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,24.0086065166866,NaN
,A02,SYBR,,Unkn,,23.272731391624,NaN
,A03,SYBR,,Unkn,,24.9034514885621,NaN
,A04,SYBR,,Unkn,,30.2856854864246,NaN
,A05,SYBR,,Unkn,,NaN,NaN
,A06,SYBR,,Unkn,,NaN,NaN
,A07,SYBR,,Unkn,,NaN,NaN
,A08,SYBR,,Unkn,,NaN,NaN
,A09,SYBR,,Unkn,,NaN,NaN
,A10,SYBR,,Unkn,,NaN,NaN
,A11,SYBR,,Unkn,,NaN,NaN
,A12,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,25.020334716264,NaN
,B02,SYBR,,Unkn,,24.2286489231877,NaN
,B03,SYBR,,Unkn,,26.5009534964483,NaN
,B04,SYBR,,Unkn,,29.4440613916837,NaN
,B05,SYBR,,Unkn,,NaN,NaN
,B06,SYBR,,Unkn,,NaN,NaN
,B07,SYBR,,Unkn,,NaN,NaN
,B08,SYBR,,Unkn,,NaN,NaN
,B09,SYBR,,Unkn,,NaN,NaN
,B10,SYBR,,Unkn,,NaN,NaN
,B11,SYBR,,Unkn,,NaN,NaN
,B12,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,,25.0340157798976,NaN
,C02,SYBR,,Unkn,,23.6971869576924,NaN
,C03,SYBR,,Unkn,,27.3213810918901,NaN
,C04,SYBR,,Unkn,,30.3608777528441,NaN
,C05,SYBR,,Unkn,,NaN,NaN
,C06,SYBR,,Unkn,,NaN,NaN
,C07,SYBR,,Unkn,,NaN,NaN
,C08,SYBR,,Unkn,,NaN,NaN
,C09,SYBR,,Unkn,,NaN,NaN
,C10,SYBR,,Unkn,,NaN,NaN
,C11,SYBR,,Unkn,,NaN,NaN
,C12,SYBR,,Unkn,,NaN,NaN
,D01,SYBR,,Unkn,,25.3716651265202,NaN
,D02,SYBR,,Unkn,,24.3496883310817,NaN
,D03,SYBR,,Unkn,,27.0470808431906,NaN
,D04,SYBR,,Unkn,,27.1214495859525,NaN
,D05,SYBR,,Unkn,,NaN,NaN
,D06,SYBR,,Unkn,,NaN,NaN
,D07,SYBR,,Unkn,,NaN,NaN
,D08,SYBR,,Unkn,,NaN,NaN
,D09,SYBR,,Unkn,,NaN,NaN
,D10,SYBR,,Unkn,,NaN,NaN
,D11,SYBR,,Unkn,,NaN,NaN
,D12,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,,25.4183129455504,NaN
,E02,SYBR,,Unkn,,25.5126404863486,NaN
,E03,SYBR,,Unkn,,26.100917933487,NaN
,E04,SYBR,,Unkn,,33.4513569115461,NaN
,E05,SYBR,,Unkn,,NaN,NaN
,E06,SYBR,,Unkn,,NaN,NaN
,E07,SYBR,,Unkn,,NaN,NaN
,E08,SYBR,,Unkn,,NaN,NaN
,E09,SYBR,,Unkn,,NaN,NaN
,E10,SYBR,,Unkn,,NaN,NaN
,E11,SYBR,,Unkn,,NaN,NaN
,E12,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,,24.6620769435972,NaN
,F02,SYBR,,Unkn,,23.1833015644302,NaN
,F03,SYBR,,Unkn,,24.1933574888344,NaN
,F04,SYBR,,Unkn,,31.7975792318912,NaN
,F05,SYBR,,Unkn,,NaN,NaN
,F06,SYBR,,Unkn,,NaN,NaN
,F07,SYBR,,Unkn,,NaN,NaN
,F08,SYBR,,Unkn,,NaN,NaN
,F09,SYBR,,Unkn,,NaN,NaN
,F10,SYBR,,Unkn,,NaN,NaN
,F11,SYBR,,Unkn,,NaN,NaN
,F12,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,24.0336791941014,NaN
,G02,SYBR,,Unkn,,24.489143696244,NaN
,G03,SYBR,,Unkn,,25.0460614153152,NaN
,G04,SYBR,,Unkn,,35.600539224543,NaN
,G05,SYBR,,Unkn,,NaN,NaN
,G06,SYBR,,Unkn,,NaN,NaN
,G07,SYBR,,Unkn,,NaN,NaN
,G08,SYBR,,Unkn,,NaN,NaN
,G09,SYBR,,Unkn,,NaN,NaN
,G10,SYBR,,Unkn,,NaN,NaN
,G11,SYBR,,Unkn,,NaN,NaN
,G12,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,23.7980441897199,NaN
,H02,SYBR,,Unkn,,23.1450141962993,NaN
,H03,SYBR,,Unkn,,30.2936769125392,NaN
,H04,SYBR,,Unkn,,34.5937041064745,NaN
,H05,SYBR,,Unkn,,NaN,NaN
,H06,SYBR,,Unkn,,NaN,NaN
,H07,SYBR,,Unkn,,NaN,NaN
,H08,SYBR,,Unkn,,NaN,NaN
,H09,SYBR,,Unkn,,NaN,NaN
,H10,SYBR,,Unkn,,NaN,NaN
,H11,SYBR,,Unkn,,NaN,NaN
,H12,SYBR,,Unkn,,NaN,NaN
