,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,24.2020751372834,NaN
,A02,SYBR,,Unkn,,25.04334476891,NaN
,A03,SYBR,,Unkn,,29.2180005191594,NaN
,A04,SYBR,,Unkn,,25.8361796070454,NaN
,A05,SYBR,,Unkn,,22.0091189180533,NaN
,A06,SYBR,,Unkn,,22.3048666856146,NaN
,A07,SYBR,,Unkn,,22.5438953976688,NaN
,A08,SYBR,,Unkn,,30.6932557321693,NaN
,A09,SYBR,,Unkn,,39.3556940984687,NaN
,A10,SYBR,,Unkn,,NaN,NaN
,A11,SYBR,,Unkn,,NaN,NaN
,A12,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,26.0623929335795,NaN
,B02,SYBR,,Unkn,,25.5638200094157,NaN
,B03,SYBR,,Unkn,,29.2326551712178,NaN
,B04,SYBR,,Unkn,,25.7590172058144,NaN
,B05,SYBR,,Unkn,,24.6437927598145,NaN
,B06,SYBR,,Unkn,,23.2522889911425,NaN
,B07,SYBR,,Unkn,,25.0404631643856,NaN
,B08,SYBR,,Unkn,,26.5412795915034,NaN
,B09,SYBR,,Unkn,,36.4666866570059,NaN
,B10,SYBR,,Unkn,,NaN,NaN
,B11,SYBR,,Unkn,,NaN,NaN
,B12,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,,23.7858308068778,NaN
,C02,SYBR,,Unkn,,24.7725163336399,NaN
,C03,SYBR,,Unkn,,29.5909810843816,NaN
,C04,SYBR,,Unkn,,25.6258352948617,NaN
,C05,SYBR,,Unkn,,23.8245956469027,NaN
,C06,SYBR,,Unkn,,21.5211513614261,NaN
,C07,SYBR,,Unkn,,24.8751567273199,NaN
,C08,SYBR,,Unkn,,28.1053726584822,NaN
,C09,SYBR,,Unkn,,NaN,NaN
,C10,SYBR,,Unkn,,NaN,NaN
,C11,SYBR,,Unkn,,NaN,NaN
,C12,SYBR,,Unkn,,NaN,NaN
,D01,SYBR,,Unkn,,23.8856541491849,NaN
,D02,SYBR,,Unkn,,25.0126165039855,NaN
,D03,SYBR,,Unkn,,28.6156851849117,NaN
,D04,SYBR,,Unkn,,26.4540289174286,NaN
,D05,SYBR,,Unkn,,22.6854091631751,NaN
,D06,SYBR,,Unkn,,22.1664742019706,NaN
,D07,SYBR,,Unkn,,23.9994031437059,NaN
,D08,SYBR,,Unkn,,26.56084589648,NaN
,D09,SYBR,,Unkn,,NaN,NaN
,D10,SYBR,,Unkn,,NaN,NaN
,D11,SYBR,,Unkn,,NaN,NaN
,D12,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,,23.536985228247,NaN
,E02,SYBR,,Unkn,,25.1921239031828,NaN
,E03,SYBR,,Unkn,,28.2148537091926,NaN
,E04,SYBR,,Unkn,,25.8809263134228,NaN
,E05,SYBR,,Unkn,,23.7735887438812,NaN
,E06,SYBR,,Unkn,,22.4344765326905,NaN
,E07,SYBR,,Unkn,,23.8175006958147,NaN
,E08,SYBR,,Unkn,,33.3497786419148,NaN
,E09,SYBR,,Unkn,,NaN,NaN
,E10,SYBR,,Unkn,,NaN,NaN
,E11,SYBR,,Unkn,,NaN,NaN
,E12,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,,24.2142779026497,NaN
,F02,SYBR,,Unkn,,23.1895522469707,NaN
,F03,SYBR,,Unkn,,25.2609203715496,NaN
,F04,SYBR,,Unkn,,26.9760930585853,NaN
,F05,SYBR,,Unkn,,24.1219920670352,NaN
,F06,SYBR,,Unkn,,21.05422074099,NaN
,F07,SYBR,,Unkn,,22.1271459948953,NaN
,F08,SYBR,,Unkn,,31.3062610977498,NaN
,F09,SYBR,,Unkn,,NaN,NaN
,F10,SYBR,,Unkn,,NaN,NaN
,F11,SYBR,,Unkn,,NaN,NaN
,F12,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,24.094032784701,NaN
,G02,SYBR,,Unkn,,23.5016117421417,NaN
,G03,SYBR,,Unkn,,26.6724728581174,NaN
,G04,SYBR,,Unkn,,28.2408434892896,NaN
,G05,SYBR,,Unkn,,22.6843553068396,NaN
,G06,SYBR,,Unkn,,21.376066945743,NaN
,G07,SYBR,,Unkn,,22.6743442555005,NaN
,G08,SYBR,,Unkn,,29.7840396022037,NaN
,G09,SYBR,,Unkn,,NaN,NaN
,G10,SYBR,,Unkn,,NaN,NaN
,G11,SYBR,,Unkn,,NaN,NaN
,G12,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,26.0778831983862,NaN
,H02,SYBR,,Unkn,,22.9601617290033,NaN
,H03,SYBR,,Unkn,,25.6552665720744,NaN
,H04,SYBR,,Unkn,,26.338806970658,NaN
,H05,SYBR,,Unkn,,23.0057673227729,NaN
,H06,SYBR,,Unkn,,21.9503827117703,NaN
,H07,SYBR,,Unkn,,30.0743974606881,NaN
,H08,SYBR,,Unkn,,30.0560431888571,NaN
,H09,SYBR,,Unkn,,NaN,NaN
,H10,SYBR,,Unkn,,NaN,NaN
,H11,SYBR,,Unkn,,NaN,NaN
,H12,SYBR,,Unkn,,NaN,NaN
