Round,Vial,Genotype,Mating Status,Infection Status,OD,Death_Time,Censor,Score
1,1,CS,2,I,1,120,1,
1,2,CS,2,I,1,24,1,no prog 2nd
1,3,CS,2,I,1,120,0,ONLY LARVAE CS FIRST VIAL
1,4,CS,2,I,1,24,1,NO GFP
1,5,CS,2,I,1,48,1,
1,6,CS,2,I,1,48,1,
1,7,CS,2,I,1,120,0,
1,8,CS,2,I,1,24,1,no prog 2nd
1,9,CS,2,I,1,24,1,
1,10,CS,2,I,1,120,0,
1,11,CS,2,I,1,120,0,ONLY LARVAE CS FIRST VIAL
1,12,CS,2,I,1,120,0,NO CS
1,13,CS,2,I,1,120,0,ONLY LARVAE CS FIRST VIAL
1,14,CS,2,I,1,120,0,
1,15,CS,2,I,1,120,0,
1,16,CS,2,I,1,48,1,
1,17,CS,2,I,1,48,1,
1,18,CS,2,I,1,48,1,
1,19,CS,2,I,1,120,0,
1,20,CS,2,I,1,72,1,ONLY LARVAE CS FIRST VIAL
1,21,CS,2,I,1,24,1,no prog 2nd
1,22,CS,2,I,1,120,1,
1,23,CS,2,I,1,120,0,
1,24,CS,2,I,1,48,1,
1,25,CS,2,I,1,72,1,ONLY LARVAE CS FIRST VIAL
1,26,CS,2,I,1,48,1,  
1,27,CS,2,I,1,48,1,ONLY LARVAE CS FIRST VIAL
1,28,CS,2,I,1,120,0,
1,29,CS,2,I,1,24,1,ONLY LARVAE CS FIRST VIAL
1,30,CS,2,I,1,48,1,
1,31,CS,2,I,1,24,1,
1,32,CS,2,I,1,24,1,
1,33,CS,2,I,1,48,1,
1,34,CS,2,I,1,24,1,
1,35,CS,2,I,1,24,1,
1,1,CS,1,I,1,24,1,
1,2,CS,1,I,1,24,1,
1,3,CS,1,I,1,120,1,
1,4,CS,1,I,1,24,1,
1,5,CS,1,I,1,48,1,
1,6,CS,1,I,1,120,0,
1,7,CS,1,I,1,120,0,
1,8,CS,1,I,1,48,1,
1,9,CS,1,I,1,24,1,no prog 2nd
1,10,CS,1,I,1,120,0,
1,11,CS,1,I,1,72,1,
1,12,CS,1,I,1,120,1,
1,13,CS,1,I,1,48,1,
1,14,CS,1,I,1,24,1,
1,15,CS,1,I,1,120,0,
1,16,CS,1,I,1,120,0,
1,17,CS,1,I,1,24,1,
1,18,CS,1,I,1,120,0,
1,19,CS,1,I,1,24,1,
1,20,CS,1,I,1,96,1,no prog 2nd
1,21,CS,1,I,1,120,1,
1,22,CS,1,I,1,24,1,
1,23,CS,1,I,1,120,0,"NO prog 1st, no prog 2nd"
1,24,CS,1,I,1,48,1,
1,25,CS,1,I,1,120,0,
1,26,CS,1,I,1,48,1,
1,27,CS,1,I,1,120,1,
1,28,CS,1,I,1,48,1,
1,29,CS,1,I,1,120,0,
1,30,CS,1,I,1,120,0,
1,31,CS,1,I,1,120,0,
1,32,CS,1,I,1,48,1,
1,33,CS,1,I,1,120,0,
1,34,CS,1,I,1,48,1,
1,35,CS,1,I,1,24,1,
1,36,CS,1,I,1,120,0,
1,37,CS,1,I,1,48,1,
1,38,CS,1,I,1,48,1,
1,39,CS,1,I,1,48,1,
1,40,CS,1,I,1,120,0,
1,46,CS,1,I,1,24,1,no prog 2nd
1,1,CS,V,I,1,120,0,
1,2,CS,V,I,1,120,0,
1,3,CS,V,I,1,72,1,
1,4,CS,V,I,1,120,0,
1,5,CS,V,I,1,120,0,
1,6,CS,V,I,1,120,0,
1,7,CS,V,I,1,120,0,
1,8,CS,V,I,1,48,1,
1,9,CS,V,I,1,120,0,
1,10,CS,V,I,1,120,0,
1,11,CS,V,I,1,48,1,
1,12,CS,V,I,1,24,1,
1,13,CS,V,I,1,120,0,
1,14,CS,V,I,1,72,1,
1,15,CS,V,I,1,120,0,
1,16,CS,V,I,1,120,0,
1,17,CS,V,I,1,120,0,
1,18,CS,V,I,1,120,0,
1,19,CS,V,I,1,48,1,
1,20,CS,V,I,1,120,0,
1,21,CS,V,I,1,120,0,
1,22,CS,V,I,1,48,1,
1,23,CS,V,I,1,120,0,
1,24,CS,V,I,1,120,0,
1,25,CS,V,I,1,48,1,
1,26,CS,V,I,1,120,0,
1,27,CS,V,I,1,48,1,
1,28,CS,V,I,1,120,0,
1,29,CS,V,I,1,120,0,
1,30,CS,V,I,1,24,1,
1,31,CS,V,I,1,120,0,
1,32,CS,V,I,1,120,0,
1,33,CS,V,I,1,96,1,
1,34,CS,V,I,1,48,1,
1,35,CS,V,I,1,120,0,
1,36,CS,V,I,1,120,0,
1,37,CS,V,I,1,120,0,
1,38,CS,V,I,1,120,0,
1,39,CS,V,I,1,120,0,
1,40,CS,V,I,1,120,0,
1,46,CS,V,I,1,48,1,
1,49,CS,V,I,1,24,1,
