Round,Vial,Genotype,Mating Status,Infection Status,OD,Death_Time,Censor,Score,0,24,48,72,96,120
2,7,CS,2,I,1,24,1,,,,,,,
2,9,CS,2,I,1,72,1,,,,,,,
2,10,CS,2,I,1,120,0,,,,,,,
2,11,CS,2,I,1,120,0,ONLY LARVAE CS FIRST VIAL,,,,,,
2,12,CS,2,I,1,120,0,,,,,,,
2,13,CS,2,I,1,120,0,,,,,,,
2,14,CS,2,I,1,120,0,,,,,,,
2,17,CS,2,I,1,96,1,,,,,,,
2,18,CS,2,I,1,120,0,,,,,,,
2,19,CS,2,I,1,120,0,ONLY LARVAE CS FIRST VIAL,,,,,,
2,20,CS,2,I,1,120,0,,,,,,,
2,21,CS,2,I,1,24,1,,,,,,,
2,22,CS,2,I,1,120,0,NO CS,,,,,,
2,23,CS,2,I,1,120,0,,,,,,,
2,24,CS,2,I,1,72,1,,,,,,,
2,25,CS,2,I,1,24,1,,,,,,,
2,26,CS,2,I,1,48,1,,,,,,,
2,27,CS,2,I,1,120,0,NO CS,,,,,,
2,28,CS,2,I,1,120,0,,,,,,,
2,29,CS,2,I,1,48,1,,,,,,,
2,30,CS,2,I,1,120,0,,,,,,,
2,31,CS,2,I,1,24,1,,,,,,,
2,32,CS,2,I,1,24,1,,,,,,,
2,33,CS,2,I,1,24,1,NO CS no prog 2nd,,,,,,
2,34,CS,2,I,1,48,1,,,,,,,
2,35,CS,2,I,1,48,1,,,,,,,
2,36,CS,2,I,1,48,1,,,,,,,
2,37,CS,2,I,1,48,1,,,,,,,
2,38,CS,2,I,1,48,1,,,,,,,
2,39,CS,2,I,1,120,0,NO CS,,,,,,
2,40,CS,2,I,1,48,1,,,,,,,
2,41,CS,2,I,1,120,0,NO GFP,,,,,,
2,42,CS,2,I,1,24,1,NO CS no prog 2nd,,,,,,
2,43,CS,2,I,1,120,0,ONLY LARVAE CS FIRST VIAL,,,,,,
2,44,CS,2,I,1,120,0,,,,,,,
2,45,CS,2,I,1,120,0,NO CS no prog 2nd,,,,,,
2,46,CS,2,I,1,48,1,,,,,,,
2,47,CS,2,I,1,72,1,,,,,,,
2,9,CS,1,I,1,120,0,,,,,,,
2,10,CS,1,I,1,120,0,,,,1m6,1m7,1m8,
2,11,CS,1,I,1,120,0,"No prog 1st, no prog 2nd",,,,,,
2,12,CS,1,I,1,120,0,,,,,,,
2,13,CS,1,I,1,120,0,,NO CS no prog 2nd,,,,,
2,14,CS,1,I,1,48,1,,NO CS no prog 2nd,,,,,
2,15,CS,1,I,1,24,1,,,,,,,
2,16,CS,1,I,1,120,0,,,,,,,
2,17,CS,1,I,1,24,1,,,,,,,
2,18,CS,1,I,1,48,1,,,,,,,
2,19,CS,1,I,1,24,1,"No prog 1st, no prog 2nd",,,,,,
2,20,CS,1,I,1,48,1,,,,,,,
2,21,CS,1,I,1,120,0,,,,,,,
2,22,CS,1,I,1,120,0,,,,,,,
2,23,CS,1,I,1,120,0,,,,,,,
2,24,CS,1,I,1,120,0,,,,,,,
2,25,CS,1,I,1,120,0,,,,,,,
2,26,CS,1,I,1,120,1,,,,,,,
2,27,CS,1,I,1,120,0,,,,,,,
2,29,CS,1,I,1,48,1,,,,,,,
2,30,CS,1,I,1,24,1,,,,,,,
2,31,CS,1,I,1,120,0,,,,,,,
2,32,CS,1,I,1,120,0,,,,,,,
2,33,CS,1,I,1,120,0,,,,,,,
2,34,CS,1,I,1,120,0,,,,,,,
2,35,CS,1,I,1,72,1,,,,,,,
2,36,CS,1,I,1,120,0,,,,,,,
2,37,CS,1,I,1,24,1,,,,,,,
2,38,CS,1,I,1,120,0,,,,,,,
2,39,CS,1,I,1,24,1,,,,,,,
2,40,CS,1,I,1,120,0,,,,,,,
2,41,CS,1,I,1,72,1,,,,,,,
2,42,CS,1,I,1,120,0,,,,,,,
2,43,CS,1,I,1,120,1,,,,,,,
2,44,CS,1,I,1,24,1,,,,,,,
2,45,CS,1,I,1,120,0,,,,,,,
2,46,CS,1,I,1,120,0,,,,,,,
2,47,CS,1,I,1,48,1,,,,,,,
2,8,CS,V,I,1,120,0,,,,,,,
2,9,CS,V,I,1,120,0,,,,,,,
2,10,CS,V,I,1,120,0,,,,,,,
2,11,CS,V,I,1,120,0,,,,,,,
2,12,CS,V,I,1,72,1,,,,,,,
2,13,CS,V,I,1,48,1,,,,,,,
2,14,CS,V,I,1,120,0,,,,,,,
2,15,CS,V,I,1,120,0,,,,,,,
2,16,CS,V,I,1,120,0,,,,,,,
2,17,CS,V,I,1,120,0,,,,,,,
2,18,CS,V,I,1,120,0,,,,,,,
2,19,CS,V,I,1,120,0,,,,,,,
2,20,CS,V,I,1,120,0,,,,,,,
2,21,CS,V,I,1,24,1,,,,,,,
2,22,CS,V,I,1,48,1,,,,,,,
2,23,CS,V,I,1,48,1,,,,,,,
2,24,CS,V,I,1,120,0,,,,,,,
2,25,CS,V,I,1,120,0,,,,,,,
2,26,CS,V,I,1,120,0,,,,,,,
2,27,CS,V,I,1,120,0,,,,,,,
2,28,CS,V,I,1,120,0,,,,,,,
2,29,CS,V,I,1,120,0,,,,,,,
2,30,CS,V,I,1,120,0,,,,,,,
2,31,CS,V,I,1,120,1,,,,,,,
2,32,CS,V,I,1,48,1,,,,,,,
2,33,CS,V,I,1,120,0,,,,,,,
2,34,CS,V,I,1,120,0,,,,,,,
2,35,CS,V,I,1,120,1,,,,,,,
2,36,CS,V,I,1,120,0,,,,,,,
2,37,CS,V,I,1,120,0,,,,,,,
2,38,CS,V,I,1,96,1,,,,,,,
2,39,CS,V,I,1,120,0,,,,,,,
2,40,CS,V,I,1,120,0,,,,,,,
2,41,CS,V,I,1,48,1,,,,,,,
2,42,CS,V,I,1,120,0,,,,,,,
2,43,CS,V,I,1,120,0,,,,,,,
2,44,CS,V,I,1,72,1,,,,,,,
2,1,CS,V,S,1,120,0,,,,,,,
2,2,CS,V,S,1,120,0,,,,,,,
2,3,CS,V,S,1,120,0,,,,,,,
2,4,CS,V,S,1,120,0,,,,,,,
2,5,CS,V,S,1,120,0,,,,,,,
