,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,16.757150742221,NaN
,A02,SYBR,,Unkn,,18.9471303519065,NaN
,A03,SYBR,,Unkn,,16.7426233511545,NaN
,A04,SYBR,,Unkn,,22.1298266356679,NaN
,A05,SYBR,,Unkn,,25.3450351378229,NaN
,A06,SYBR,,Unkn,,23.5854994600521,NaN
,A07,SYBR,,Unkn,,20.1864059730706,NaN
,A08,SYBR,,Unkn,,27.6954156446413,NaN
,A09,SYBR,,Unkn,,NaN,NaN
,A10,SYBR,,Unkn,,NaN,NaN
,A11,SYBR,,Unkn,,NaN,NaN
,A12,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,20.8094162552484,NaN
,B02,SYBR,,Unkn,,19.2841182721476,NaN
,B03,SYBR,,Unkn,,18.8582532661552,NaN
,B04,SYBR,,Unkn,,22.2248346817284,NaN
,B05,SYBR,,Unkn,,23.2779830145404,NaN
,B06,SYBR,,Unkn,,24.4997317236976,NaN
,B07,SYBR,,Unkn,,23.2510256290847,NaN
,B08,SYBR,,Unkn,,27.0334598954615,NaN
,B09,SYBR,,Unkn,,NaN,NaN
,B10,SYBR,,Unkn,,NaN,NaN
,B11,SYBR,,Unkn,,NaN,NaN
,B12,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,,20.3588613557442,NaN
,C02,SYBR,,Unkn,,18.0615421135782,NaN
,C03,SYBR,,Unkn,,20.2159192400672,NaN
,C04,SYBR,,Unkn,,20.3120252636159,NaN
,C05,SYBR,,Unkn,,27.9346216630779,NaN
,C06,SYBR,,Unkn,,23.2453108961727,NaN
,C07,SYBR,,Unkn,,24.9475916625509,NaN
,C08,SYBR,,Unkn,,28.652056313165,NaN
,C09,SYBR,,Unkn,,NaN,NaN
,C10,SYBR,,Unkn,,NaN,NaN
,C11,SYBR,,Unkn,,NaN,NaN
,C12,SYBR,,Unkn,,NaN,NaN
,D01,SYBR,,Unkn,,20.0062727713536,NaN
,D02,SYBR,,Unkn,,18.9872706129292,NaN
,D03,SYBR,,Unkn,,20.3116856892817,NaN
,D04,SYBR,,Unkn,,23.0345755338359,NaN
,D05,SYBR,,Unkn,,25.5618232708276,NaN
,D06,SYBR,,Unkn,,22.1974801498016,NaN
,D07,SYBR,,Unkn,,24.4527543944198,NaN
,D08,SYBR,,Unkn,,26.3093910786127,NaN
,D09,SYBR,,Unkn,,NaN,NaN
,D10,SYBR,,Unkn,,NaN,NaN
,D11,SYBR,,Unkn,,NaN,NaN
,D12,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,,20.6503920248115,NaN
,E02,SYBR,,Unkn,,20.2673817404364,NaN
,E03,SYBR,,Unkn,,19.1547443883379,NaN
,E04,SYBR,,Unkn,,23.6075792551658,NaN
,E05,SYBR,,Unkn,,27.0348721575026,NaN
,E06,SYBR,,Unkn,,24.7942227383013,NaN
,E07,SYBR,,Unkn,,23.2862973156067,NaN
,E08,SYBR,,Unkn,,32.0249519683846,NaN
,E09,SYBR,,Unkn,,NaN,NaN
,E10,SYBR,,Unkn,,NaN,NaN
,E11,SYBR,,Unkn,,NaN,NaN
,E12,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,,20.4253586507347,NaN
,F02,SYBR,,Unkn,,19.8277519086085,NaN
,F03,SYBR,,Unkn,,20.292681316786,NaN
,F04,SYBR,,Unkn,,19.5770977099064,NaN
,F05,SYBR,,Unkn,,26.9564336653903,NaN
,F06,SYBR,,Unkn,,23.5130122818516,NaN
,F07,SYBR,,Unkn,,22.6171372391232,NaN
,F08,SYBR,,Unkn,,32.3688128418292,NaN
,F09,SYBR,,Unkn,,NaN,NaN
,F10,SYBR,,Unkn,,NaN,NaN
,F11,SYBR,,Unkn,,NaN,NaN
,F12,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,18.7494973272455,NaN
,G02,SYBR,,Unkn,,20.3606095297297,NaN
,G03,SYBR,,Unkn,,20.5937960145678,NaN
,G04,SYBR,,Unkn,,21.9601179936327,NaN
,G05,SYBR,,Unkn,,24.6403716333196,NaN
,G06,SYBR,,Unkn,,24.2519487063466,NaN
,G07,SYBR,,Unkn,,24.1677714895384,NaN
,G08,SYBR,,Unkn,,34.0776356987743,NaN
,G09,SYBR,,Unkn,,NaN,NaN
,G10,SYBR,,Unkn,,NaN,NaN
,G11,SYBR,,Unkn,,NaN,NaN
,G12,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,19.4494988560293,NaN
,H02,SYBR,,Unkn,,22.6994290040753,NaN
,H03,SYBR,,Unkn,,22.302868184407,NaN
,H04,SYBR,,Unkn,,23.8454751708116,NaN
,H05,SYBR,,Unkn,,24.2269522988935,NaN
,H06,SYBR,,Unkn,,25.6649316772129,NaN
,H07,SYBR,,Unkn,,29.2870281771176,NaN
,H08,SYBR,,Unkn,,34.2618816921589,NaN
,H09,SYBR,,Unkn,,NaN,NaN
,H10,SYBR,,Unkn,,NaN,NaN
,H11,SYBR,,Unkn,,NaN,NaN
,H12,SYBR,,Unkn,,NaN,NaN
