Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,,25.19546406,NaN
A02,SYBR,,Unkn,,25.57100068,NaN
A03,SYBR,,Unkn,,23.01354358,NaN
A04,SYBR,,Unkn,,23.27043127,NaN
A05,SYBR,,Unkn,,27.03699578,NaN
A06,SYBR,,Unkn,,29.17139528,NaN
A07,SYBR,,Unkn,,30.55613883,NaN
A08,SYBR,,Unkn,,32.14146431,NaN
A09,SYBR,,Unkn,,NaN,NaN
A10,SYBR,,Unkn,,NaN,NaN
A11,SYBR,,Unkn,,NaN,NaN
A12,SYBR,,Unkn,,NaN,NaN
B01,SYBR,,Unkn,,24.31459063,NaN
B02,SYBR,,Unkn,,27.60412599,NaN
B03,SYBR,,Unkn,,24.3406174,NaN
B04,SYBR,,Unkn,,20.35401891,NaN
B05,SYBR,,Unkn,,22.5129817,NaN
B06,SYBR,,Unkn,,32.64465894,NaN
B07,SYBR,,Unkn,,29.46846233,NaN
B08,SYBR,,Unkn,,29.76186238,NaN
B09,SYBR,,Unkn,,NaN,NaN
B10,SYBR,,Unkn,,NaN,NaN
B11,SYBR,,Unkn,,NaN,NaN
B12,SYBR,,Unkn,,NaN,NaN
C01,SYBR,,Unkn,,23.77698501,NaN
C02,SYBR,,Unkn,,27.0584896,NaN
C03,SYBR,,Unkn,,23.61306727,NaN
C04,SYBR,,Unkn,,21.08774743,NaN
C05,SYBR,,Unkn,,26.36979,NaN
C06,SYBR,,Unkn,,26.16586237,NaN
C07,SYBR,,Unkn,,29.21774763,NaN
C08,SYBR,,Unkn,,NaN,NaN
C09,SYBR,,Unkn,,NaN,NaN
C10,SYBR,,Unkn,,NaN,NaN
C11,SYBR,,Unkn,,NaN,NaN
C12,SYBR,,Unkn,,NaN,NaN
D01,SYBR,,Unkn,,29.28150311,NaN
D02,SYBR,,Unkn,,27.66147725,NaN
D03,SYBR,,Unkn,,26.39761743,NaN
D04,SYBR,,Unkn,,24.07020114,NaN
D05,SYBR,,Unkn,,32.15796616,NaN
D06,SYBR,,Unkn,,32.14863676,NaN
D07,SYBR,,Unkn,,39.54951307,NaN
D08,SYBR,,Unkn,,NaN,NaN
D09,SYBR,,Unkn,,NaN,NaN
D10,SYBR,,Unkn,,NaN,NaN
D11,SYBR,,Unkn,,NaN,NaN
D12,SYBR,,Unkn,,NaN,NaN
E01,SYBR,,Unkn,,26.35982906,NaN
E02,SYBR,,Unkn,,27.02514472,NaN
E03,SYBR,,Unkn,,22.57409044,NaN
E04,SYBR,,Unkn,,22.01252769,NaN
E05,SYBR,,Unkn,,21.56798578,NaN
E06,SYBR,,Unkn,,26.73938648,NaN
E07,SYBR,,Unkn,,29.73514044,NaN
E08,SYBR,,Unkn,,NaN,NaN
E09,SYBR,,Unkn,,NaN,NaN
E10,SYBR,,Unkn,,NaN,NaN
E11,SYBR,,Unkn,,NaN,NaN
E12,SYBR,,Unkn,,NaN,NaN
F01,SYBR,,Unkn,,26.34972324,NaN
F02,SYBR,,Unkn,,24.74801476,NaN
F03,SYBR,,Unkn,,24.89780517,NaN
F04,SYBR,,Unkn,,21.88356924,NaN
F05,SYBR,,Unkn,,22.98955067,NaN
F06,SYBR,,Unkn,,28.81702844,NaN
F07,SYBR,,Unkn,,30.61223512,NaN
F08,SYBR,,Unkn,,NaN,NaN
F09,SYBR,,Unkn,,NaN,NaN
F10,SYBR,,Unkn,,NaN,NaN
F11,SYBR,,Unkn,,NaN,NaN
F12,SYBR,,Unkn,,NaN,NaN
G01,SYBR,,Unkn,,27.36574437,NaN
G02,SYBR,,Unkn,,27.77831872,NaN
G03,SYBR,,Unkn,,23.12443348,NaN
G04,SYBR,,Unkn,,22.4249345,NaN
G05,SYBR,,Unkn,,21.28175566,NaN
G06,SYBR,,Unkn,,25.4302941,NaN
G07,SYBR,,Unkn,,30.03408927,NaN
G08,SYBR,,Unkn,,NaN,NaN
G09,SYBR,,Unkn,,NaN,NaN
G10,SYBR,,Unkn,,NaN,NaN
G11,SYBR,,Unkn,,NaN,NaN
G12,SYBR,,Unkn,,NaN,NaN
H01,SYBR,,Unkn,,29.20655226,NaN
H02,SYBR,,Unkn,,28.27173693,NaN
H03,SYBR,,Unkn,,25.26033326,NaN
H04,SYBR,,Unkn,,24.46521744,NaN
H05,SYBR,,Unkn,,21.88540502,NaN
H06,SYBR,,Unkn,,31.97936316,NaN
H07,SYBR,,Unkn,,29.59462932,NaN
H08,SYBR,,Unkn,,NaN,NaN
H09,SYBR,,Unkn,,NaN,NaN
H10,SYBR,,Unkn,,NaN,NaN
H11,SYBR,,Unkn,,NaN,NaN
H12,SYBR,,Unkn,,NaN,NaN
