Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,,22.84372821,NaN
A02,SYBR,,Unkn,,26.42093268,NaN
A03,SYBR,,Unkn,,21.56727583,NaN
A04,SYBR,,Unkn,,22.32167848,NaN
A05,SYBR,,Unkn,,24.39647926,NaN
A06,SYBR,,Unkn,,31.75283718,NaN
A07,SYBR,,Unkn,,36.42768155,NaN
A08,SYBR,,Unkn,,30.85245272,NaN
A09,SYBR,,Unkn,,NaN,NaN
A10,SYBR,,Unkn,,NaN,NaN
A11,SYBR,,Unkn,,NaN,NaN
A12,SYBR,,Unkn,,NaN,NaN
B01,SYBR,,Unkn,,23.28248544,NaN
B02,SYBR,,Unkn,,30.26919462,NaN
B03,SYBR,,Unkn,,22.38700838,NaN
B04,SYBR,,Unkn,,20.74158207,NaN
B05,SYBR,,Unkn,,20.28851433,NaN
B06,SYBR,,Unkn,,34.56371152,NaN
B07,SYBR,,Unkn,,35.32777481,NaN
B08,SYBR,,Unkn,,32.7902622,NaN
B09,SYBR,,Unkn,,NaN,NaN
B10,SYBR,,Unkn,,NaN,NaN
B11,SYBR,,Unkn,,NaN,NaN
B12,SYBR,,Unkn,,NaN,NaN
C01,SYBR,,Unkn,,22.30227578,NaN
C02,SYBR,,Unkn,,31.79616981,NaN
C03,SYBR,,Unkn,,21.74773426,NaN
C04,SYBR,,Unkn,,21.23863611,NaN
C05,SYBR,,Unkn,,22.75110329,NaN
C06,SYBR,,Unkn,,31.79740129,NaN
C07,SYBR,,Unkn,,33.37629405,NaN
C08,SYBR,,Unkn,,NaN,NaN
C09,SYBR,,Unkn,,NaN,NaN
C10,SYBR,,Unkn,,NaN,NaN
C11,SYBR,,Unkn,,NaN,NaN
C12,SYBR,,Unkn,,NaN,NaN
D01,SYBR,,Unkn,,26.15233434,NaN
D02,SYBR,,Unkn,,31.15679715,NaN
D03,SYBR,,Unkn,,24.86712768,NaN
D04,SYBR,,Unkn,,24.75163906,NaN
D05,SYBR,,Unkn,,29.47392798,NaN
D06,SYBR,,Unkn,,32.03043092,NaN
D07,SYBR,,Unkn,,NaN,NaN
D08,SYBR,,Unkn,,NaN,NaN
D09,SYBR,,Unkn,,NaN,NaN
D10,SYBR,,Unkn,,NaN,NaN
D11,SYBR,,Unkn,,NaN,NaN
D12,SYBR,,Unkn,,NaN,NaN
E01,SYBR,,Unkn,,23.11063161,NaN
E02,SYBR,,Unkn,,29.009325,NaN
E03,SYBR,,Unkn,,22.65989734,NaN
E04,SYBR,,Unkn,,22.39867351,NaN
E05,SYBR,,Unkn,,20.19867791,NaN
E06,SYBR,,Unkn,,31.94122519,NaN
E07,SYBR,,Unkn,,34.56229616,NaN
E08,SYBR,,Unkn,,NaN,NaN
E09,SYBR,,Unkn,,NaN,NaN
E10,SYBR,,Unkn,,NaN,NaN
E11,SYBR,,Unkn,,NaN,NaN
E12,SYBR,,Unkn,,NaN,NaN
F01,SYBR,,Unkn,,23.66520962,NaN
F02,SYBR,,Unkn,,29.13742968,NaN
F03,SYBR,,Unkn,,23.37696251,NaN
F04,SYBR,,Unkn,,21.40797848,NaN
F05,SYBR,,Unkn,,30.30592034,NaN
F06,SYBR,,Unkn,,34.84960692,NaN
F07,SYBR,,Unkn,,35.16179915,NaN
F08,SYBR,,Unkn,,NaN,NaN
F09,SYBR,,Unkn,,NaN,NaN
F10,SYBR,,Unkn,,NaN,NaN
F11,SYBR,,Unkn,,NaN,NaN
F12,SYBR,,Unkn,,NaN,NaN
G01,SYBR,,Unkn,,24.34765674,NaN
G02,SYBR,,Unkn,,31.50333577,NaN
G03,SYBR,,Unkn,,21.81202261,NaN
G04,SYBR,,Unkn,,21.44494917,NaN
G05,SYBR,,Unkn,,24.92666004,NaN
G06,SYBR,,Unkn,,32.1221792,NaN
G07,SYBR,,Unkn,,30.71890664,NaN
G08,SYBR,,Unkn,,NaN,NaN
G09,SYBR,,Unkn,,NaN,NaN
G10,SYBR,,Unkn,,NaN,NaN
G11,SYBR,,Unkn,,NaN,NaN
G12,SYBR,,Unkn,,NaN,NaN
H01,SYBR,,Unkn,,25.14357492,NaN
H02,SYBR,,Unkn,,27.97008457,NaN
H03,SYBR,,Unkn,,22.78242845,NaN
H04,SYBR,,Unkn,,22.97092193,NaN
H05,SYBR,,Unkn,,28.77209277,NaN
H06,SYBR,,Unkn,,35.45602977,NaN
H07,SYBR,,Unkn,,36.83576913,NaN
H08,SYBR,,Unkn,,NaN,NaN
H09,SYBR,,Unkn,,NaN,NaN
H10,SYBR,,Unkn,,NaN,NaN
H11,SYBR,,Unkn,,NaN,NaN
H12,SYBR,,Unkn,,NaN,NaN
