Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,,21.26020287,NaN
A02,SYBR,,Unkn,,24.33480423,NaN
A03,SYBR,,Unkn,,20.63492478,NaN
A04,SYBR,,Unkn,,22.45395401,NaN
A05,SYBR,,Unkn,,22.1913725,NaN
A06,SYBR,,Unkn,,28.30760428,NaN
A07,SYBR,,Unkn,,37.62085561,NaN
A08,SYBR,,Unkn,,29.93332451,NaN
A09,SYBR,,Unkn,,NaN,NaN
A10,SYBR,,Unkn,,NaN,NaN
A11,SYBR,,Unkn,,NaN,NaN
A12,SYBR,,Unkn,,NaN,NaN
B01,SYBR,,Unkn,,22.03723704,NaN
B02,SYBR,,Unkn,,31.22957482,NaN
B03,SYBR,,Unkn,,22.35416063,NaN
B04,SYBR,,Unkn,,20.30982945,NaN
B05,SYBR,,Unkn,,19.39088963,NaN
B06,SYBR,,Unkn,,30.43907349,NaN
B07,SYBR,,Unkn,,36.69648489,NaN
B08,SYBR,,Unkn,,29.79892117,NaN
B09,SYBR,,Unkn,,NaN,NaN
B10,SYBR,,Unkn,,NaN,NaN
B11,SYBR,,Unkn,,NaN,NaN
B12,SYBR,,Unkn,,NaN,NaN
C01,SYBR,,Unkn,,21.09829045,NaN
C02,SYBR,,Unkn,,33.43766865,NaN
C03,SYBR,,Unkn,,20.67934914,NaN
C04,SYBR,,Unkn,,20.59824186,NaN
C05,SYBR,,Unkn,,21.3095361,NaN
C06,SYBR,,Unkn,,34.94455107,NaN
C07,SYBR,,Unkn,,32.13695872,NaN
C08,SYBR,,Unkn,,NaN,NaN
C09,SYBR,,Unkn,,NaN,NaN
C10,SYBR,,Unkn,,NaN,NaN
C11,SYBR,,Unkn,,NaN,NaN
C12,SYBR,,Unkn,,NaN,NaN
D01,SYBR,,Unkn,,23.68507834,NaN
D02,SYBR,,Unkn,,32.73358415,NaN
D03,SYBR,,Unkn,,23.57015514,NaN
D04,SYBR,,Unkn,,22.47627758,NaN
D05,SYBR,,Unkn,,27.58193855,NaN
D06,SYBR,,Unkn,,32.13720921,NaN
D07,SYBR,,Unkn,,NaN,NaN
D08,SYBR,,Unkn,,NaN,NaN
D09,SYBR,,Unkn,,NaN,NaN
D10,SYBR,,Unkn,,NaN,NaN
D11,SYBR,,Unkn,,NaN,NaN
D12,SYBR,,Unkn,,NaN,NaN
E01,SYBR,,Unkn,,20.75715107,NaN
E02,SYBR,,Unkn,,28.37094803,NaN
E03,SYBR,,Unkn,,20.79936914,NaN
E04,SYBR,,Unkn,,20.67583225,NaN
E05,SYBR,,Unkn,,19.29329105,NaN
E06,SYBR,,Unkn,,32.41724897,NaN
E07,SYBR,,Unkn,,35.70688554,NaN
E08,SYBR,,Unkn,,NaN,NaN
E09,SYBR,,Unkn,,NaN,NaN
E10,SYBR,,Unkn,,NaN,NaN
E11,SYBR,,Unkn,,NaN,NaN
E12,SYBR,,Unkn,,NaN,NaN
F01,SYBR,,Unkn,,21.81737413,NaN
F02,SYBR,,Unkn,,31.93853996,NaN
F03,SYBR,,Unkn,,22.44327183,NaN
F04,SYBR,,Unkn,,20.74028033,NaN
F05,SYBR,,Unkn,,32.64036291,NaN
F06,SYBR,,Unkn,,33.84088276,NaN
F07,SYBR,,Unkn,,31.94937242,NaN
F08,SYBR,,Unkn,,NaN,NaN
F09,SYBR,,Unkn,,NaN,NaN
F10,SYBR,,Unkn,,NaN,NaN
F11,SYBR,,Unkn,,NaN,NaN
F12,SYBR,,Unkn,,NaN,NaN
G01,SYBR,,Unkn,,23.06693717,NaN
G02,SYBR,,Unkn,,31.57596869,NaN
G03,SYBR,,Unkn,,21.09587609,NaN
G04,SYBR,,Unkn,,20.95325512,NaN
G05,SYBR,,Unkn,,27.50513582,NaN
G06,SYBR,,Unkn,,31.98409412,NaN
G07,SYBR,,Unkn,,30.97214173,NaN
G08,SYBR,,Unkn,,NaN,NaN
G09,SYBR,,Unkn,,NaN,NaN
G10,SYBR,,Unkn,,NaN,NaN
G11,SYBR,,Unkn,,NaN,NaN
G12,SYBR,,Unkn,,NaN,NaN
H01,SYBR,,Unkn,,22.92264007,NaN
H02,SYBR,,Unkn,,28.47522311,NaN
H03,SYBR,,Unkn,,20.52246944,NaN
H04,SYBR,,Unkn,,22.38628291,NaN
H05,SYBR,,Unkn,,28.28557901,NaN
H06,SYBR,,Unkn,,34.77239752,NaN
H07,SYBR,,Unkn,,36.16029669,NaN
H08,SYBR,,Unkn,,NaN,NaN
H09,SYBR,,Unkn,,NaN,NaN
H10,SYBR,,Unkn,,NaN,NaN
H11,SYBR,,Unkn,,NaN,NaN
H12,SYBR,,Unkn,,NaN,NaN
