Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,,21.81120137,NaN
A02,SYBR,,Unkn,,25.6326198,NaN
A03,SYBR,,Unkn,,20.05660532,NaN
A04,SYBR,,Unkn,,21.20839245,NaN
A05,SYBR,,Unkn,,22.4126481,NaN
A06,SYBR,,Unkn,,29.2187679,NaN
A07,SYBR,,Unkn,,37.5779558,NaN
A08,SYBR,,Unkn,,30.84573288,NaN
A09,SYBR,,Unkn,,NaN,NaN
A10,SYBR,,Unkn,,NaN,NaN
A11,SYBR,,Unkn,,NaN,NaN
A12,SYBR,,Unkn,,NaN,NaN
B01,SYBR,,Unkn,,22.19301204,NaN
B02,SYBR,,Unkn,,29.03876604,NaN
B03,SYBR,,Unkn,,21.14108794,NaN
B04,SYBR,,Unkn,,19.40897283,NaN
B05,SYBR,,Unkn,,19.24230086,NaN
B06,SYBR,,Unkn,,32.6278823,NaN
B07,SYBR,,Unkn,,35.28409756,NaN
B08,SYBR,,Unkn,,30.4098149,NaN
B09,SYBR,,Unkn,,NaN,NaN
B10,SYBR,,Unkn,,NaN,NaN
B11,SYBR,,Unkn,,NaN,NaN
B12,SYBR,,Unkn,,NaN,NaN
C01,SYBR,,Unkn,,21.63246974,NaN
C02,SYBR,,Unkn,,30.43245486,NaN
C03,SYBR,,Unkn,,20.71692179,NaN
C04,SYBR,,Unkn,,20.18379333,NaN
C05,SYBR,,Unkn,,21.97742403,NaN
C06,SYBR,,Unkn,,33.01758232,NaN
C07,SYBR,,Unkn,,34.37148295,NaN
C08,SYBR,,Unkn,,NaN,NaN
C09,SYBR,,Unkn,,NaN,NaN
C10,SYBR,,Unkn,,NaN,NaN
C11,SYBR,,Unkn,,NaN,NaN
C12,SYBR,,Unkn,,NaN,NaN
D01,SYBR,,Unkn,,24.00270459,NaN
D02,SYBR,,Unkn,,31.25075532,NaN
D03,SYBR,,Unkn,,23.51510102,NaN
D04,SYBR,,Unkn,,23.06171428,NaN
D05,SYBR,,Unkn,,28.58487085,NaN
D06,SYBR,,Unkn,,31.64371724,NaN
D07,SYBR,,Unkn,,NaN,NaN
D08,SYBR,,Unkn,,NaN,NaN
D09,SYBR,,Unkn,,NaN,NaN
D10,SYBR,,Unkn,,NaN,NaN
D11,SYBR,,Unkn,,NaN,NaN
D12,SYBR,,Unkn,,NaN,NaN
E01,SYBR,,Unkn,,21.13335247,NaN
E02,SYBR,,Unkn,,28.45696951,NaN
E03,SYBR,,Unkn,,20.72440613,NaN
E04,SYBR,,Unkn,,21.08208134,NaN
E05,SYBR,,Unkn,,19.34545096,NaN
E06,SYBR,,Unkn,,28.64523745,NaN
E07,SYBR,,Unkn,,37.12065221,NaN
E08,SYBR,,Unkn,,NaN,NaN
E09,SYBR,,Unkn,,NaN,NaN
E10,SYBR,,Unkn,,NaN,NaN
E11,SYBR,,Unkn,,NaN,NaN
E12,SYBR,,Unkn,,NaN,NaN
F01,SYBR,,Unkn,,22.11027993,NaN
F02,SYBR,,Unkn,,31.59048863,NaN
F03,SYBR,,Unkn,,22.36200973,NaN
F04,SYBR,,Unkn,,20.81132181,NaN
F05,SYBR,,Unkn,,28.81466771,NaN
F06,SYBR,,Unkn,,34.77703814,NaN
F07,SYBR,,Unkn,,31.04423836,NaN
F08,SYBR,,Unkn,,NaN,NaN
F09,SYBR,,Unkn,,NaN,NaN
F10,SYBR,,Unkn,,NaN,NaN
F11,SYBR,,Unkn,,NaN,NaN
F12,SYBR,,Unkn,,NaN,NaN
G01,SYBR,,Unkn,,22.21824579,NaN
G02,SYBR,,Unkn,,32.1727636,NaN
G03,SYBR,,Unkn,,20.62561721,NaN
G04,SYBR,,Unkn,,20.17307819,NaN
G05,SYBR,,Unkn,,25.83582025,NaN
G06,SYBR,,Unkn,,32.16369725,NaN
G07,SYBR,,Unkn,,33.39465755,NaN
G08,SYBR,,Unkn,,NaN,NaN
G09,SYBR,,Unkn,,NaN,NaN
G10,SYBR,,Unkn,,NaN,NaN
G11,SYBR,,Unkn,,NaN,NaN
G12,SYBR,,Unkn,,NaN,NaN
H01,SYBR,,Unkn,,23.10494246,NaN
H02,SYBR,,Unkn,,28.11112136,NaN
H03,SYBR,,Unkn,,20.77145864,NaN
H04,SYBR,,Unkn,,21.62295244,NaN
H05,SYBR,,Unkn,,28.12281378,NaN
H06,SYBR,,Unkn,,32.77219291,NaN
H07,SYBR,,Unkn,,35.04433824,NaN
H08,SYBR,,Unkn,,NaN,NaN
H09,SYBR,,Unkn,,NaN,NaN
H10,SYBR,,Unkn,,NaN,NaN
H11,SYBR,,Unkn,,NaN,NaN
H12,SYBR,,Unkn,,NaN,NaN
