Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,,23.36857405,NaN
A02,SYBR,,Unkn,,24.27024972,NaN
A03,SYBR,,Unkn,,24.3487526,NaN
A04,SYBR,,Unkn,,23.6539042,NaN
A05,SYBR,,Unkn,,24.38244012,NaN
A06,SYBR,,Unkn,,25.16087081,NaN
A07,SYBR,,Unkn,,25.3342771,NaN
A08,SYBR,,Unkn,,23.24900835,NaN
A09,SYBR,,Unkn,,23.4072608,NaN
A10,SYBR,,Unkn,,25.98338669,NaN
A11,SYBR,,Unkn,,25.14573223,NaN
A12,SYBR,,Unkn,,29.45010961,NaN
B01,SYBR,,Unkn,,23.76440595,NaN
B02,SYBR,,Unkn,,22.53923167,NaN
B03,SYBR,,Unkn,,26.0282879,NaN
B04,SYBR,,Unkn,,22.99392716,NaN
B05,SYBR,,Unkn,,24.46137516,NaN
B06,SYBR,,Unkn,,24.55113328,NaN
B07,SYBR,,Unkn,,24.15454079,NaN
B08,SYBR,,Unkn,,22.81391456,NaN
B09,SYBR,,Unkn,,28.64296619,NaN
B10,SYBR,,Unkn,,27.45355515,NaN
B11,SYBR,,Unkn,,30.27050218,NaN
B12,SYBR,,Unkn,,31.43625354,NaN
C01,SYBR,,Unkn,,24.80409281,NaN
C02,SYBR,,Unkn,,24.15129724,NaN
C03,SYBR,,Unkn,,25.54801303,NaN
C04,SYBR,,Unkn,,25.12252561,NaN
C05,SYBR,,Unkn,,25.26621409,NaN
C06,SYBR,,Unkn,,24.00912977,NaN
C07,SYBR,,Unkn,,26.63263151,NaN
C08,SYBR,,Unkn,,23.02037023,NaN
C09,SYBR,,Unkn,,29.50052283,NaN
C10,SYBR,,Unkn,,26.20091978,NaN
C11,SYBR,,Unkn,,30.68919507,NaN
C12,SYBR,,Unkn,,29.34736433,NaN
D01,SYBR,,Unkn,,24.41243933,NaN
D02,SYBR,,Unkn,,25.1578396,NaN
D03,SYBR,,Unkn,,28.03230774,NaN
D04,SYBR,,Unkn,,24.60530564,NaN
D05,SYBR,,Unkn,,25.37627478,NaN
D06,SYBR,,Unkn,,24.52541098,NaN
D07,SYBR,,Unkn,,26.50593814,NaN
D08,SYBR,,Unkn,,37.22639311,NaN
D09,SYBR,,Unkn,,27.06387262,NaN
D10,SYBR,,Unkn,,25.38134933,NaN
D11,SYBR,,Unkn,,30.49099693,NaN
D12,SYBR,,Unkn,,29.51908415,NaN
E01,SYBR,,Unkn,,24.77356841,NaN
E02,SYBR,,Unkn,,24.31503996,NaN
E03,SYBR,,Unkn,,30.21533901,NaN
E04,SYBR,,Unkn,,24.53777286,NaN
E05,SYBR,,Unkn,,25.86427745,NaN
E06,SYBR,,Unkn,,26.40431971,NaN
E07,SYBR,,Unkn,,23.77131405,NaN
E08,SYBR,,Unkn,,NaN,NaN
E09,SYBR,,Unkn,,29.52531582,NaN
E10,SYBR,,Unkn,,26.49096917,NaN
E11,SYBR,,Unkn,,28.81310837,NaN
E12,SYBR,,Unkn,,29.9089785,NaN
F01,SYBR,,Unkn,,24.8515043,NaN
F02,SYBR,,Unkn,,23.72565624,NaN
F03,SYBR,,Unkn,,27.78556697,NaN
F04,SYBR,,Unkn,,24.93027994,NaN
F05,SYBR,,Unkn,,26.93081724,NaN
F06,SYBR,,Unkn,,26.18077256,NaN
F07,SYBR,,Unkn,,24.68336287,NaN
F08,SYBR,,Unkn,,NaN,NaN
F09,SYBR,,Unkn,,28.50833835,NaN
F10,SYBR,,Unkn,,25.32895682,NaN
F11,SYBR,,Unkn,,28.84858718,NaN
F12,SYBR,,Unkn,,26.63426505,NaN
G01,SYBR,,Unkn,,24.38932228,NaN
G02,SYBR,,Unkn,,24.57612079,NaN
G03,SYBR,,Unkn,,24.6881207,NaN
G04,SYBR,,Unkn,,25.90122243,NaN
G05,SYBR,,Unkn,,26.00222858,NaN
G06,SYBR,,Unkn,,28.26611547,NaN
G07,SYBR,,Unkn,,25.2628139,NaN
G08,SYBR,,Unkn,,NaN,NaN
G09,SYBR,,Unkn,,27.04320213,NaN
G10,SYBR,,Unkn,,25.51579704,NaN
G11,SYBR,,Unkn,,28.77160769,NaN
G12,SYBR,,Unkn,,29.18774057,NaN
H01,SYBR,,Unkn,,25.20793782,NaN
H02,SYBR,,Unkn,,24.64419278,NaN
H03,SYBR,,Unkn,,26.97335331,NaN
H04,SYBR,,Unkn,,25.08065217,NaN
H05,SYBR,,Unkn,,26.63121395,NaN
H06,SYBR,,Unkn,,24.07326338,NaN
H07,SYBR,,Unkn,,24.02974152,NaN
H08,SYBR,,Unkn,,NaN,NaN
H09,SYBR,,Unkn,,26.00993252,NaN
H10,SYBR,,Unkn,,26.07785018,NaN
H11,SYBR,,Unkn,,29.12069574,NaN
H12,SYBR,,Unkn,,29.83291392,NaN
