Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,,22.26643141,NaN
A02,SYBR,,Unkn,,21.40892939,NaN
A03,SYBR,,Unkn,,22.13202141,NaN
A04,SYBR,,Unkn,,22.1294901,NaN
A05,SYBR,,Unkn,,30.48356999,NaN
A06,SYBR,,Unkn,,27.14771653,NaN
A07,SYBR,,Unkn,,31.99999961,NaN
A08,SYBR,,Unkn,,31.28013815,NaN
A09,SYBR,,Unkn,,NaN,NaN
A10,SYBR,,Unkn,,NaN,NaN
A11,SYBR,,Unkn,,NaN,NaN
A12,SYBR,,Unkn,,NaN,NaN
B01,SYBR,,Unkn,,21.75404152,NaN
B02,SYBR,,Unkn,,21.63109279,NaN
B03,SYBR,,Unkn,,23.14820856,NaN
B04,SYBR,,Unkn,,21.3021548,NaN
B05,SYBR,,Unkn,,29.33175638,NaN
B06,SYBR,,Unkn,,31.5611858,NaN
B07,SYBR,,Unkn,,26.66318714,NaN
B08,SYBR,,Unkn,,25.70036796,NaN
B09,SYBR,,Unkn,,NaN,NaN
B10,SYBR,,Unkn,,NaN,NaN
B11,SYBR,,Unkn,,NaN,NaN
B12,SYBR,,Unkn,,NaN,NaN
C01,SYBR,,Unkn,,22.7405548,NaN
C02,SYBR,,Unkn,,21.48333993,NaN
C03,SYBR,,Unkn,,23.02049346,NaN
C04,SYBR,,Unkn,,22.92841564,NaN
C05,SYBR,,Unkn,,29.74459424,NaN
C06,SYBR,,Unkn,,25.12469277,NaN
C07,SYBR,,Unkn,,31.44997663,NaN
C08,SYBR,,Unkn,,30.30640754,NaN
C09,SYBR,,Unkn,,NaN,NaN
C10,SYBR,,Unkn,,NaN,NaN
C11,SYBR,,Unkn,,NaN,NaN
C12,SYBR,,Unkn,,NaN,NaN
D01,SYBR,,Unkn,,22.10888273,NaN
D02,SYBR,,Unkn,,21.9822491,NaN
D03,SYBR,,Unkn,,24.59371289,NaN
D04,SYBR,,Unkn,,21.8461705,NaN
D05,SYBR,,Unkn,,31.84704092,NaN
D06,SYBR,,Unkn,,31.58967098,NaN
D07,SYBR,,Unkn,,31.83475428,NaN
D08,SYBR,,Unkn,,NaN,NaN
D09,SYBR,,Unkn,,NaN,NaN
D10,SYBR,,Unkn,,NaN,NaN
D11,SYBR,,Unkn,,NaN,NaN
D12,SYBR,,Unkn,,NaN,NaN
E01,SYBR,,Unkn,,22.19236381,NaN
E02,SYBR,,Unkn,,21.22302811,NaN
E03,SYBR,,Unkn,,27.02891605,NaN
E04,SYBR,,Unkn,,22.97848536,NaN
E05,SYBR,,Unkn,,30.03359731,NaN
E06,SYBR,,Unkn,,30.16686304,NaN
E07,SYBR,,Unkn,,29.68610314,NaN
E08,SYBR,,Unkn,,NaN,NaN
E09,SYBR,,Unkn,,NaN,NaN
E10,SYBR,,Unkn,,NaN,NaN
E11,SYBR,,Unkn,,NaN,NaN
E12,SYBR,,Unkn,,NaN,NaN
F01,SYBR,,Unkn,,22.15429608,NaN
F02,SYBR,,Unkn,,20.83565039,NaN
F03,SYBR,,Unkn,,24.44863584,NaN
F04,SYBR,,Unkn,,22.06343876,NaN
F05,SYBR,,Unkn,,30.42452553,NaN
F06,SYBR,,Unkn,,31.04688514,NaN
F07,SYBR,,Unkn,,27.98659709,NaN
F08,SYBR,,Unkn,,NaN,NaN
F09,SYBR,,Unkn,,NaN,NaN
F10,SYBR,,Unkn,,NaN,NaN
F11,SYBR,,Unkn,,NaN,NaN
F12,SYBR,,Unkn,,NaN,NaN
G01,SYBR,,Unkn,,22.27811081,NaN
G02,SYBR,,Unkn,,21.1963698,NaN
G03,SYBR,,Unkn,,22.3688434,NaN
G04,SYBR,,Unkn,,29.54275357,NaN
G05,SYBR,,Unkn,,29.08758082,NaN
G06,SYBR,,Unkn,,31.77241795,NaN
G07,SYBR,,Unkn,,32.04163521,NaN
G08,SYBR,,Unkn,,NaN,NaN
G09,SYBR,,Unkn,,NaN,NaN
G10,SYBR,,Unkn,,NaN,NaN
G11,SYBR,,Unkn,,NaN,NaN
G12,SYBR,,Unkn,,NaN,NaN
H01,SYBR,,Unkn,,22.30860459,NaN
H02,SYBR,,Unkn,,22.11951289,NaN
H03,SYBR,,Unkn,,23.9353656,NaN
H04,SYBR,,Unkn,,31.76509229,NaN
H05,SYBR,,Unkn,,29.16381085,NaN
H06,SYBR,,Unkn,,26.94617261,NaN
H07,SYBR,,Unkn,,26.81524532,NaN
H08,SYBR,,Unkn,,NaN,NaN
H09,SYBR,,Unkn,,NaN,NaN
H10,SYBR,,Unkn,,NaN,NaN
H11,SYBR,,Unkn,,NaN,NaN
H12,SYBR,,Unkn,,NaN,NaN
