Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,,20.72349355,NaN
A02,SYBR,,Unkn,,21.13952283,NaN
A03,SYBR,,Unkn,,NaN,NaN
A04,SYBR,,Unkn,,21.06046265,NaN
A05,SYBR,,Unkn,,33.05378326,NaN
A06,SYBR,,Unkn,,28.34052206,NaN
A07,SYBR,,Unkn,,34.19719228,NaN
A08,SYBR,,Unkn,,31.22202298,NaN
A09,SYBR,,Unkn,,NaN,NaN
A10,SYBR,,Unkn,,NaN,NaN
A11,SYBR,,Unkn,,NaN,NaN
A12,SYBR,,Unkn,,NaN,NaN
B01,SYBR,,Unkn,,20.62621501,NaN
B02,SYBR,,Unkn,,21.36907713,NaN
B03,SYBR,,Unkn,,23.05334496,NaN
B04,SYBR,,Unkn,,20.9758074,NaN
B05,SYBR,,Unkn,,30.41777387,NaN
B06,SYBR,,Unkn,,32.4106213,NaN
B07,SYBR,,Unkn,,27.59031983,NaN
B08,SYBR,,Unkn,,30.25204839,NaN
B09,SYBR,,Unkn,,NaN,NaN
B10,SYBR,,Unkn,,NaN,NaN
B11,SYBR,,Unkn,,NaN,NaN
B12,SYBR,,Unkn,,NaN,NaN
C01,SYBR,,Unkn,,22.43000427,NaN
C02,SYBR,,Unkn,,21.20510367,NaN
C03,SYBR,,Unkn,,22.86962778,NaN
C04,SYBR,,Unkn,,22.75387028,NaN
C05,SYBR,,Unkn,,32.14341099,NaN
C06,SYBR,,Unkn,,25.78781795,NaN
C07,SYBR,,Unkn,,33.73046223,NaN
C08,SYBR,,Unkn,,29.26426528,NaN
C09,SYBR,,Unkn,,NaN,NaN
C10,SYBR,,Unkn,,NaN,NaN
C11,SYBR,,Unkn,,NaN,NaN
C12,SYBR,,Unkn,,NaN,NaN
D01,SYBR,,Unkn,,22.14890652,NaN
D02,SYBR,,Unkn,,21.464568,NaN
D03,SYBR,,Unkn,,23.16633093,NaN
D04,SYBR,,Unkn,,21.49973151,NaN
D05,SYBR,,Unkn,,34.48230388,NaN
D06,SYBR,,Unkn,,33.3219554,NaN
D07,SYBR,,Unkn,,34.19881881,NaN
D08,SYBR,,Unkn,,35.95589787,NaN
D09,SYBR,,Unkn,,NaN,NaN
D10,SYBR,,Unkn,,NaN,NaN
D11,SYBR,,Unkn,,NaN,NaN
D12,SYBR,,Unkn,,NaN,NaN
E01,SYBR,,Unkn,,21.55463816,NaN
E02,SYBR,,Unkn,,21.43977561,NaN
E03,SYBR,,Unkn,,27.76818589,NaN
E04,SYBR,,Unkn,,21.04436626,NaN
E05,SYBR,,Unkn,,32.0187094,NaN
E06,SYBR,,Unkn,,33.13165148,NaN
E07,SYBR,,Unkn,,31.66783434,NaN
E08,SYBR,,Unkn,,NaN,NaN
E09,SYBR,,Unkn,,NaN,NaN
E10,SYBR,,Unkn,,NaN,NaN
E11,SYBR,,Unkn,,NaN,NaN
E12,SYBR,,Unkn,,NaN,NaN
F01,SYBR,,Unkn,,21.54378612,NaN
F02,SYBR,,Unkn,,20.12107247,NaN
F03,SYBR,,Unkn,,23.05319928,NaN
F04,SYBR,,Unkn,,22.05350789,NaN
F05,SYBR,,Unkn,,32.3375801,NaN
F06,SYBR,,Unkn,,34.69968565,NaN
F07,SYBR,,Unkn,,28.80214143,NaN
F08,SYBR,,Unkn,,NaN,NaN
F09,SYBR,,Unkn,,NaN,NaN
F10,SYBR,,Unkn,,NaN,NaN
F11,SYBR,,Unkn,,NaN,NaN
F12,SYBR,,Unkn,,NaN,NaN
G01,SYBR,,Unkn,,22.10994153,NaN
G02,SYBR,,Unkn,,21.40125361,NaN
G03,SYBR,,Unkn,,22.05831841,NaN
G04,SYBR,,Unkn,,32.6285988,NaN
G05,SYBR,,Unkn,,30.79869072,NaN
G06,SYBR,,Unkn,,34.04369151,NaN
G07,SYBR,,Unkn,,35.13529919,NaN
G08,SYBR,,Unkn,,NaN,NaN
G09,SYBR,,Unkn,,NaN,NaN
G10,SYBR,,Unkn,,NaN,NaN
G11,SYBR,,Unkn,,NaN,NaN
G12,SYBR,,Unkn,,NaN,NaN
H01,SYBR,,Unkn,,21.57905958,NaN
H02,SYBR,,Unkn,,21.76216554,NaN
H03,SYBR,,Unkn,,22.06287674,NaN
H04,SYBR,,Unkn,,34.02443364,NaN
H05,SYBR,,Unkn,,32.45112367,NaN
H06,SYBR,,Unkn,,27.72917648,NaN
H07,SYBR,,Unkn,,29.54637396,NaN
H08,SYBR,,Unkn,,NaN,NaN
H09,SYBR,,Unkn,,NaN,NaN
H10,SYBR,,Unkn,,NaN,NaN
H11,SYBR,,Unkn,,NaN,NaN
H12,SYBR,,Unkn,,NaN,NaN
