,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,22.9431442253289,NaN
,A02,SYBR,,Unkn,,21.5420652007944,NaN
,A03,SYBR,,Unkn,,20.0926824937586,NaN
,A04,SYBR,,Unkn,,22.19964311915,NaN
,A05,SYBR,,Unkn,,26.8151885873228,NaN
,A06,SYBR,,Unkn,,27.7360142838412,NaN
,A07,SYBR,,Unkn,,25.9527050663466,NaN
,A08,SYBR,,Unkn,,27.5455624477653,NaN
,A09,SYBR,,Unkn,,NaN,NaN
,A10,SYBR,,Unkn,,NaN,NaN
,A11,SYBR,,Unkn,,NaN,NaN
,A12,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,19.5412513532945,NaN
,B02,SYBR,,Unkn,,23.796226655907,NaN
,B03,SYBR,,Unkn,,19.5928254003473,NaN
,B04,SYBR,,Unkn,,22.0046602488967,NaN
,B05,SYBR,,Unkn,,25.2947551569096,NaN
,B06,SYBR,,Unkn,,26.1284446605342,NaN
,B07,SYBR,,Unkn,,26.5737958015577,NaN
,B08,SYBR,,Unkn,,25.5771103601481,NaN
,B09,SYBR,,Unkn,,NaN,NaN
,B10,SYBR,,Unkn,,NaN,NaN
,B11,SYBR,,Unkn,,NaN,NaN
,B12,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,,23.6397447810928,NaN
,C02,SYBR,,Unkn,,20.2340152706053,NaN
,C03,SYBR,,Unkn,,20.4929827797798,NaN
,C04,SYBR,,Unkn,,23.9826049019116,NaN
,C05,SYBR,,Unkn,,25.6739024499964,NaN
,C06,SYBR,,Unkn,,24.9740054093939,NaN
,C07,SYBR,,Unkn,,26.4097252911134,NaN
,C08,SYBR,,Unkn,,25.2920037481197,NaN
,C09,SYBR,,Unkn,,NaN,NaN
,C10,SYBR,,Unkn,,NaN,NaN
,C11,SYBR,,Unkn,,NaN,NaN
,C12,SYBR,,Unkn,,NaN,NaN
,D01,SYBR,,Unkn,,21.8883476206864,NaN
,D02,SYBR,,Unkn,,19.671472006703,NaN
,D03,SYBR,,Unkn,,21.7788004841094,NaN
,D04,SYBR,,Unkn,,21.0382857121237,NaN
,D05,SYBR,,Unkn,,26.4268006752923,NaN
,D06,SYBR,,Unkn,,27.4508134759743,NaN
,D07,SYBR,,Unkn,,25.4674665850883,NaN
,D08,SYBR,,Unkn,,36.7662427210435,NaN
,D09,SYBR,,Unkn,,NaN,NaN
,D10,SYBR,,Unkn,,NaN,NaN
,D11,SYBR,,Unkn,,NaN,NaN
,D12,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,,19.9997463137691,NaN
,E02,SYBR,,Unkn,,21.0562021035931,NaN
,E03,SYBR,,Unkn,,20.4220979242018,NaN
,E04,SYBR,,Unkn,,20.1865922683052,NaN
,E05,SYBR,,Unkn,,26.9514749546153,NaN
,E06,SYBR,,Unkn,,27.6288714972329,NaN
,E07,SYBR,,Unkn,,29.4801227316925,NaN
,E08,SYBR,,Unkn,,NaN,NaN
,E09,SYBR,,Unkn,,NaN,NaN
,E10,SYBR,,Unkn,,NaN,NaN
,E11,SYBR,,Unkn,,NaN,NaN
,E12,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,,20.8882524335658,NaN
,F02,SYBR,,Unkn,,20.6713267023538,NaN
,F03,SYBR,,Unkn,,22.1293728470616,NaN
,F04,SYBR,,Unkn,,22.7775159752852,NaN
,F05,SYBR,,Unkn,,26.8483117208474,NaN
,F06,SYBR,,Unkn,,26.7180374460964,NaN
,F07,SYBR,,Unkn,,26.6759171321498,NaN
,F08,SYBR,,Unkn,,NaN,NaN
,F09,SYBR,,Unkn,,NaN,NaN
,F10,SYBR,,Unkn,,NaN,NaN
,F11,SYBR,,Unkn,,NaN,NaN
,F12,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,24.074516478581,NaN
,G02,SYBR,,Unkn,,20.4868608733879,NaN
,G03,SYBR,,Unkn,,21.5411985279475,NaN
,G04,SYBR,,Unkn,,24.5448231466416,NaN
,G05,SYBR,,Unkn,,24.9302117099643,NaN
,G06,SYBR,,Unkn,,26.973841620858,NaN
,G07,SYBR,,Unkn,,27.6737852006749,NaN
,G08,SYBR,,Unkn,,NaN,NaN
,G09,SYBR,,Unkn,,NaN,NaN
,G10,SYBR,,Unkn,,NaN,NaN
,G11,SYBR,,Unkn,,NaN,NaN
,G12,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,20.8968680892674,NaN
,H02,SYBR,,Unkn,,22.3222991441741,NaN
,H03,SYBR,,Unkn,,20.2463700895897,NaN
,H04,SYBR,,Unkn,,24.579420846199,NaN
,H05,SYBR,,Unkn,,25.2589511421293,NaN
,H06,SYBR,,Unkn,,26.1193682782866,NaN
,H07,SYBR,,Unkn,,27.228607736642,NaN
,H08,SYBR,,Unkn,,NaN,NaN
,H09,SYBR,,Unkn,,NaN,NaN
,H10,SYBR,,Unkn,,NaN,NaN
,H11,SYBR,,Unkn,,NaN,NaN
,H12,SYBR,,Unkn,,NaN,NaN
