,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,18.0291002920642,NaN
,A02,SYBR,,Unkn,,18.7307109540889,NaN
,A03,SYBR,,Unkn,,19.1690735281782,NaN
,A04,SYBR,,Unkn,,19.8572282919995,NaN
,A05,SYBR,,Unkn,,31.0833723122104,NaN
,A06,SYBR,,Unkn,,26.6534741566837,NaN
,A07,SYBR,,Unkn,,28.6158153972301,NaN
,A08,SYBR,,Unkn,,31.5068543469412,NaN
,A09,SYBR,,Unkn,,NaN,NaN
,A10,SYBR,,Unkn,,NaN,NaN
,A11,SYBR,,Unkn,,NaN,NaN
,A12,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,18.0081027701314,NaN
,B02,SYBR,,Unkn,,18.5768990900592,NaN
,B03,SYBR,,Unkn,,20.8094059266801,NaN
,B04,SYBR,,Unkn,,19.1945351840735,NaN
,B05,SYBR,,Unkn,,28.1440605452026,NaN
,B06,SYBR,,Unkn,,31.0194394085564,NaN
,B07,SYBR,,Unkn,,33.8771385856143,NaN
,B08,SYBR,,Unkn,,28.0292454272274,NaN
,B09,SYBR,,Unkn,,NaN,NaN
,B10,SYBR,,Unkn,,NaN,NaN
,B11,SYBR,,Unkn,,NaN,NaN
,B12,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,,19.3886783811558,NaN
,C02,SYBR,,Unkn,,19.4608990699784,NaN
,C03,SYBR,,Unkn,,20.6031423518602,NaN
,C04,SYBR,,Unkn,,20.7979937602069,NaN
,C05,SYBR,,Unkn,,31.5205518322068,NaN
,C06,SYBR,,Unkn,,25.4010367753163,NaN
,C07,SYBR,,Unkn,,29.1362343182684,NaN
,C08,SYBR,,Unkn,,32.9163800458797,NaN
,C09,SYBR,,Unkn,,NaN,NaN
,C10,SYBR,,Unkn,,NaN,NaN
,C11,SYBR,,Unkn,,NaN,NaN
,C12,SYBR,,Unkn,,NaN,NaN
,D01,SYBR,,Unkn,,20.0648458092763,NaN
,D02,SYBR,,Unkn,,20.1315036290388,NaN
,D03,SYBR,,Unkn,,21.0909985802882,NaN
,D04,SYBR,,Unkn,,20.3278666863764,NaN
,D05,SYBR,,Unkn,,32.0144424485491,NaN
,D06,SYBR,,Unkn,,31.0431755847272,NaN
,D07,SYBR,,Unkn,,28.5040064969653,NaN
,D08,SYBR,,Unkn,,NaN,NaN
,D09,SYBR,,Unkn,,NaN,NaN
,D10,SYBR,,Unkn,,NaN,NaN
,D11,SYBR,,Unkn,,NaN,NaN
,D12,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,,19.616193821897,NaN
,E02,SYBR,,Unkn,,19.0390994251648,NaN
,E03,SYBR,,Unkn,,25.131968726893,NaN
,E04,SYBR,,Unkn,,20.0682494478366,NaN
,E05,SYBR,,Unkn,,30.3934641049111,NaN
,E06,SYBR,,Unkn,,30.5975361346789,NaN
,E07,SYBR,,Unkn,,35.1780833558901,NaN
,E08,SYBR,,Unkn,,NaN,NaN
,E09,SYBR,,Unkn,,NaN,NaN
,E10,SYBR,,Unkn,,NaN,NaN
,E11,SYBR,,Unkn,,NaN,NaN
,E12,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,,19.5924887483447,NaN
,F02,SYBR,,Unkn,,18.6096393156597,NaN
,F03,SYBR,,Unkn,,21.4177746588161,NaN
,F04,SYBR,,Unkn,,21.1246216160375,NaN
,F05,SYBR,,Unkn,,29.834199312352,NaN
,F06,SYBR,,Unkn,,31.6910831506861,NaN
,F07,SYBR,,Unkn,,30.7884316590886,NaN
,F08,SYBR,,Unkn,,NaN,NaN
,F09,SYBR,,Unkn,,NaN,NaN
,F10,SYBR,,Unkn,,NaN,NaN
,F11,SYBR,,Unkn,,NaN,NaN
,F12,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,20.3837762469983,NaN
,G02,SYBR,,Unkn,,19.9930181021019,NaN
,G03,SYBR,,Unkn,,21.246253997414,NaN
,G04,SYBR,,Unkn,,29.9086416162629,NaN
,G05,SYBR,,Unkn,,31.0899771766133,NaN
,G06,SYBR,,Unkn,,32.5478141864724,NaN
,G07,SYBR,,Unkn,,25.8037552208331,NaN
,G08,SYBR,,Unkn,,NaN,NaN
,G09,SYBR,,Unkn,,NaN,NaN
,G10,SYBR,,Unkn,,NaN,NaN
,G11,SYBR,,Unkn,,NaN,NaN
,G12,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,20.3050940905339,NaN
,H02,SYBR,,Unkn,,21.7400929299254,NaN
,H03,SYBR,,Unkn,,21.2848842512937,NaN
,H04,SYBR,,Unkn,,32.7726842374051,NaN
,H05,SYBR,,Unkn,,28.9229423342375,NaN
,H06,SYBR,,Unkn,,26.7619448949132,NaN
,H07,SYBR,,Unkn,,33.3541980872008,NaN
,H08,SYBR,,Unkn,,NaN,NaN
,H09,SYBR,,Unkn,,NaN,NaN
,H10,SYBR,,Unkn,,NaN,NaN
,H11,SYBR,,Unkn,,NaN,NaN
,H12,SYBR,,Unkn,,NaN,NaN
