Plate Name,Dilution,Colony Name,Sector Constant,Count / Frame,Count / ml,Mean Count / ml,User,Flags,Created,Comments / Notes,Spiral Volume
10_16,1 : 1000,A,W,84,1.68E+006,1.68E+006,P3Admin,,3/14/2019 11:52:02 AM,,50ul
10_19,1 : 1000,A,W,27,5.4E+005,5.4E+005,P3Admin,,3/14/2019 11:52:40 AM,,50ul
10_20,1 : 1000,A,W,37,7.4E+005,7.4E+005,P3Admin,,3/14/2019 11:52:55 AM,,50ul
10_21,1 : 1000,A,W,70,1.4E+006,1.4E+006,P3Admin,,3/14/2019 11:53:08 AM,,50ul
10_22,1 : 1000,A,W,59,1.18E+006,1.18E+006,P3Admin,,3/14/2019 11:53:21 AM,,50ul
10_23,1 : 1000,A,W,61,1.22E+006,1.22E+006,P3Admin,,3/14/2019 11:53:36 AM,,50ul
10_24,1 : 1000,A,W,140,2.8E+006,2.8E+006,P3Admin,,3/14/2019 11:53:49 AM,,50ul
10_17,1 : 1000,A,W,32,6.4E+005,6.4E+005,P3Admin,,3/14/2019 11:54:08 AM,,50ul
10_18,1 : 1000,A,4A,166,3.32E+006,3.32E+006,P3Admin,,3/14/2019 11:54:24 AM,,50ul
10_7,1 : 1000,A,W,78,1.56E+006,1.56E+006,P3Admin,,3/14/2019 11:54:44 AM,,50ul
10_8,1 : 1000,A,W,77,1.54E+006,1.54E+006,P3Admin,,3/14/2019 11:54:57 AM,,50ul
10_9,1 : 1000,A,W,34,6.8E+005,6.8E+005,P3Admin,,3/14/2019 11:55:11 AM,,50ul
10_10,1 : 1000,A,4A,161,3.22E+006,3.22E+006,P3Admin,,3/14/2019 11:55:25 AM,,50ul
10_11,1 : 1000,A,W,151,3.02E+006,3.02E+006,P3Admin,,3/14/2019 11:55:39 AM,,50ul
10_12,1 : 1000,A,W,18,3.6E+005,3.6E+005,P3Admin,,3/14/2019 11:55:53 AM,,50ul
10_13,1 : 1000,A,W,146,2.92E+006,2.92E+006,P3Admin,,3/14/2019 11:56:07 AM,,50ul
10_14,1 : 1000,A,W,100,2.E+006,2.E+006,P3Admin,,3/14/2019 11:56:24 AM,,50ul
10_15,1 : 1000,A,4C,162,8.86E+006,8.86E+006,P3Admin,,3/14/2019 11:56:38 AM,,50ul
10_1,1 : 1000,A,W,69,1.38E+006,1.38E+006,P3Admin,,3/14/2019 11:56:56 AM,,50ul
10_2,1 : 1000,A,W,37,7.4E+005,7.4E+005,P3Admin,,3/14/2019 11:57:09 AM,,50ul
10_3,1 : 1000,A,W,95,1.9E+006,1.9E+006,P3Admin,,3/14/2019 11:57:22 AM,,50ul
10_4,1 : 1000,A,4A,185,3.7E+006,3.7E+006,P3Admin,,3/14/2019 11:57:36 AM,,50ul
10_5,1 : 1000,A,W,12,2.4E+005,2.4E+005,P3Admin,,3/14/2019 11:57:49 AM,,50ul
10_32,1 : 1000,A,W,17,3.4E+005,3.4E+005,P3Admin,,3/14/2019 11:58:22 AM,,50ul
10_29,1 : 1000,A,W,19,3.8E+005,3.8E+005,P3Admin,E ,3/14/2019 11:58:58 AM,,50ul
10_33,1 : 1000,A,W,14,2.8E+005,2.8E+005,P3Admin,,3/14/2019 11:59:46 AM,,50ul
7_10,1 : 1000,A,W,23,4.6E+005,4.6E+005,P3Admin,,3/14/2019 12:01:16 PM,,50ul
7_12,1 : 1000,A,W,9,1.8E+005,1.8E+005,P3Admin,,3/14/2019 12:01:36 PM,,50ul
7_16,1 : 1000,A,W,17,3.4E+005,3.4E+005,P3Admin,,3/14/2019 12:01:53 PM,,50ul
10_34,1 : 1000,A,W,39,7.8E+005,7.8E+005,P3Admin,,3/14/2019 12:05:29 PM,,50ul
10_42,1 : 1000,A,W,6,1.2E+005,1.2E+005,P3Admin,,3/14/2019 12:05:53 PM,,50ul
7_48,1 : 1000,A,W,15,3.E+005,3.E+005,P3Admin,,3/14/2019 12:06:14 PM,,50ul
10_40,1 : 1000,A,W,6,1.2E+005,1.2E+005,P3Admin,,3/14/2019 12:06:35 PM,,50ul
10_38,1 : 1000,A,W,4,8.E+004,8.E+004,P3Admin,,3/14/2019 12:06:55 PM,,50ul
10_39,1 : 1000,A,W,9,1.8E+005,1.8E+005,P3Admin,,3/14/2019 12:07:13 PM,,50ul
4_31,1 : 1000,A,W,18,3.6E+005,3.6E+005,P3Admin,,3/14/2019 12:07:35 PM,,50ul
7_45,1 : 1000,A,W,35,7.E+005,7.E+005,P3Admin,,3/14/2019 12:07:54 PM,,50ul
7_40,1 : 1000,A,W,16,3.2E+005,3.2E+005,P3Admin,,3/14/2019 12:08:34 PM,,50ul
V_27,1 : 10,A,W,48,9.6E+003,9.6E+003,P3Admin,,3/17/2019 4:33:49 PM,,50ul
4_7,1 : 10,A,W,126,2.52E+004,2.52E+004,P3Admin,,3/17/2019 4:36:33 PM,,50ul
7_33,1 : 10,A,W,121,2.42E+004,2.42E+004,P3Admin,,3/17/2019 4:37:19 PM,,50ul
10_41,1 : 10,A,4B,172,5.73E+004,5.73E+004,P3Admin,,3/17/2019 4:37:50 PM,,50ul
2_28,1 : 100,A,3B,282,5.15E+006,5.15E+006,P3Admin,,3/17/2019 4:39:00 PM,,50ul
2_29,1 : 100,A,4B,166,5.53E+005,5.53E+005,P3Admin,,3/17/2019 4:39:22 PM,,50ul
2_30,1 : 100,A,3B,216,3.94E+006,3.94E+006,P3Admin,,3/17/2019 4:39:45 PM,,50ul
2_31,1 : 100,A,3A,227,2.15E+006,2.15E+006,P3Admin,,3/17/2019 4:40:04 PM,,50ul
2_32,1 : 100,A,4A,171,3.42E+005,3.42E+005,P3Admin,M E ,3/17/2019 4:40:21 PM,,50ul
2_33,1 : 100,A,W,81,1.62E+005,1.62E+005,P3Admin,,3/17/2019 4:41:50 PM,,50ul
